"seq_name" "geno" "corv_abd" "corv_div" "corv_rich"
"112" "300661_407542" "BESC-426" 23 0.856859037 4
"113" "300661_407546" "BESC-439" 21 1.089871122 4
"114" "300661_407548" "BESC-445" 9 0.683738906 3
"115" "300661_407552" "BESC-459" 19 0.633663257 5
"116" "300661_407555" "BESC-465" 10 0.940447989 4
"117" "300661_407560" "BESC-810" 16 0.621086375 2
"118" "300661_407561" "BESC-811" 15 0.953271015 4
"119" "300661_407564" "BESC-828" 21 0.594024166 3
"120" "300661_407565" "BESC-829" 12 1.389681192 6
"121" "300661_407568" "BESC-846" 9 0.936888308 3
"122" "300661_407571" "BESC-859" 15 0.803314976 3
"123" "300661_407572" "BESC-863" 13 0.286835983 3
"124" "300661_407573" "BESC-866" 13 1.56495725 5
"125" "300661_407575" "BESC-879" 12 0.562335145 2
"126" "300661_407576" "BESC-880" 20 0.587500931 4
"127" "300661_407590" "FNYI-28-2" 12 1.704551445 6
"128" "300661_407598" "SLMC-28-1" 16.5 0.907747666 3.5
"129" "300661_407602" "GW-7987" 6 0.867563228 3
"130" "300661_407604" "GW-9594" 16 0.900256051 3
"131" "300661_407605" "GW-9757" 18 0.792632526 2.5
"132" "300661_407607" "GW-9789" 11 1.033562054 4
"133" "300661_407614" "GW-9880" 9 1.060856947 3
"134" "300661_407615" "GW-9895" 9 1.214889654 4
"135" "300661_407620" "GW-9950" 5 1.33217904 4
"136" "300661_407621" "GW-10957" 16 1.190076307 5
"137" "852_1003100" "BESC-9" 25 0.44757755 2.5
"138" "852_1003109" "BESC-38" 22 1.096575434 5
"139" "852_1003115" "BESC-45" 17 1.486895227 6
"140" "852_1003142" "BESC-84" 16 1.4500065 7
"141" "852_1003148" "BESC-86" 8 0.562335145 2
"142" "852_1003160" "BESC-148" 19 0.609627424 4
"143" "852_1003163" "BESC-151" 10 0.610864302 2
"144" "852_1003166" "BESC-158" 8 0.974314753 3
"145" "852_1003169" "BESC-164" 14 0.991138897 4
"146" "852_1003178" "BESC-191" 7 0.682908105 2
"147" "852_1003187" "BESC-203" 37 0.370478512 4
"148" "852_1003190" "BESC-204" 10 1.029653014 3
"149" "852_1003196" "BESC-212" 5 1.054920168 3
"150" "852_1003199" "BESC-214" 4 0 1
"151" "852_1003217" "BESC-274" 25 0.167944148 2
"152" "852_1003220" "BESC-277" 14 0.994353692 5
"153" "852_1003223" "BESC-284" 12 0 1
"154" "852_1003229" "BESC-292" 9 1.303092404 5
"155" "852_1003232" "BESC-299" 12 0.566085739 3
"156" "852_1003235" "BESC-316" 13.5 0.680735682 3
"157" "852_1003238" "BESC-321" 19 0.633039512 3
"158" "852_1003241" "BESC-327" 6 1.066956188 3
"159" "852_1003247" "BESC-342" 5 0.950270539 3
"160" "852_1003253" "BESC-363" 14 1.12753479 5
"161" "852_1003259" "BESC-376" 24 0.679193266 2
"162" "852_1003283" "BESC-422" 17 1.2997418 5
"163" "852_1003289" "BESC-427" 20 1.781618808 9
"164" "852_1003301" "BESC-442" 21 0.99631385 4
"165" "852_1003313" "BESC-458" 23.5 0.603305592 3
"166" "852_1003316" "BESC-469" 11 1.540305825 6
"167" "852_1003319" "BLCG-28-3" 19 1.131799 4.5
"168" "852_1003325" "CHWH-27-5" 14.5 1.05816007 4
"169" "852_1003331" "DENC-17-5" 19 0.853944698 4
"170" "852_1003334" "DEND-17-4" 14.5 0.666691872 3
"171" "852_1003352" "HARC-26-3" 24 0.344598248 3
"172" "852_1003367" "KLNA-20-4" 12 1.357977855 4
"173" "852_1003376" "KLND-20-5" 22 0.979478266 4
"174" "852_1003379" "KLNE-20-5" 30.5 0.846035723 4.5
"175" "852_1003385" "KLNG-20-3" 13 0.687092027 3
"176" "852_1003388" "KLNG-20-4" 8 1.213007566 4
"177" "852_1003412" "SKWD-24-5" 14 1.400326576 5
"178" "852_1003415" "SKWF-24-5" 19 0.765937337 3
"179" "852_1003418" "SLMB-28-4" 6 1.011404265 3
"180" "852_1003427" "SQMB-25-4" 6 0.450561209 2
"181" "852_1003451" "BESC-815" 13 0.540204142 2
"182" "852_1003457" "BESC-819" 6 0.450561209 2
"183" "852_1003463" "BESC-842" 24 0.178844913 3
"184" "852_1003466" "BESC-843" 17 1.140720196 4
"185" "852_1003469" "BESC-853" 18 0.556646904 3
"186" "852_1003472" "BESC-860" 12 1.414279065 6
"187" "852_1003484" "BESC-874" 16 1.124035722 6
"188" "852_1003487" "BESC-878" 13 1.524707393 5
"189" "852_1003496" "GW-4579" 18 1.087856559 4
"190" "852_1003499" "GW-4610" 29 0.398440508 3
"191" "852_1003508" "GW-7980" 16 0.822265337 4
"192" "852_1003517" "GW-9578" 2 0 1
"193" "852_1003523" "GW-9585" 18 0.654669565 3
"194" "852_1003529" "GW-9591" 7 0.955699891 3
"195" "852_1003535" "GW-9597" 30 0.815985974 4
"196" "852_1003538" "GW-9756" 20 1.277288406 5
"197" "852_1003559" "GW-11041" 9 0.848685558 3
"198" "852_1003568" "GW-9803" 18 0.760755259 4
"199" "852_1003574" "GW-9820" 30 0.672591049 5
"200" "852_1003583" "GW-9843" 27 0.805806938 5
"201" "852_1003592" "GW-9863" 10 1.470808476 5
"202" "852_1003595" "GW-9865" 18 0.977925227 4
"203" "852_1003607" "GW-9878" 36 0.126930545 2
"204" "852_1003625" "GW-9900" 10 0.801818553 3
"205" "852_1003640" "GW-9919" 1 0 1
"206" "852_1003643" "GW-9922" 19 1.043547907 5
"207" "852_1003658" "GW-9962" 15 0.627705257 3
"208" "852_1003670" "GW-9970" 7 1.475076311 5
"209" "852_1003691" "GW-11044" 14.5 1.139235682 4.5
"210" "852_1008827" "BESC-3" 13 0.666278442 2
"211" "852_1008836" "BESC-11" 14 1.432757053 5
"212" "852_1008842" "BESC-17" 23 0.765245566 4
"213" "852_1008872" "BESC-35" 24 0.544283733 3
"214" "852_1008875" "BESC-36" 32 1.006109631 6
"215" "852_1008881" "BESC-48" 23 0.837897228 3
"216" "852_1008887" "BESC-54" 23 0.470235962 3
"217" "852_1008890" "BESC-56" 16 0 1
"218" "852_1008899" "BESC-65" 6 0.636514168 2
"219" "852_1008902" "BESC-67" 19 0.409458619 3
"220" "852_1008908" "BESC-71" 19 0.853944698 4
"221" "852_1008911" "BESC-72" 10 0.897945725 3
"222" "852_1008914" "BESC-76" 22 0.576382067 3
"223" "852_1008920" "BESC-78" 11 0.655481774 2
"224" "852_1008923" "BESC-83" 16 1.244016696 5
"225" "852_1008956" "BESC-123" 9 0.683738906 3
"226" "852_1008959" "BESC-127" 26 0.163023629 2
"227" "852_1008974" "BESC-143" 25 1.015031879 5
"228" "852_1008977" "BESC-146" 17 0.465999257 2
"229" "852_1008983" "BESC-153" 28 0.558577924 3
"230" "852_1008989" "BESC-159" 35 0.623663306 3
"231" "852_1009004" "BESC-168" 15.5 1.189350258 4.5
"232" "852_1009010" "BESC-178" 24 1.176505601 5
"233" "852_1009016" "BESC-185" 15 0.636514168 2
"234" "852_1009028" "BESC-198" 11 1.162225545 4
"235" "852_1009040" "BESC-216" 21.5 0.989463798 3.5
"236" "852_1009043" "BESC-217" 22 0.184907399 2
"237" "852_1009061" "BESC-238" 28 1.396818522 6
"238" "852_1009088" "BESC-257" 27 1.443876846 5
"239" "852_1009094" "BESC-264" 21 0.681607702 4
"240" "852_1009100" "BESC-270" 9 0.529706199 2
"241" "852_1009115" "BESC-295" 11 1.420571926 6
"242" "852_1009118" "BESC-298" 21 0.380506218 3
"243" "852_1009121" "BESC-304" 19 0.753442461 3
"244" "852_1009124" "BESC-305" 24 0.952512747 6
"245" "852_1009127" "BESC-307" 30 0.608939632 4
"246" "852_1009136" "BESC-311" 18 0.777789932 3
"247" "852_1009139" "BESC-312" 7 0.955699891 3
"248" "852_1009142" "BESC-322" 25.5 0.845984384 4.5
"249" "852_1009160" "BESC-352" 15 0.636514168 2
