"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"486" "852_1015040" "HOPF-27-5" 57 0.239692796 3
"487" "852_1015043" "HOPG-27-1" 30 1.602889545 6
"488" "852_1015058" "KLNA-20-3" 8 1.213007566 4
"489" "852_1015067" "KLNC-20-2" 8 1.386294361 5
"490" "852_1015088" "KLNG-20-6" 26 0.972769638 3
"491" "852_1015094" "KTMA-12-2" 10.5 1.009675692 3.5
"492" "852_1015097" "KTMA-12-3" 32 0.84987706 3
"493" "852_1015100" "KTMA-12-4" 11 1.294545166 4
"494" "852_1015112" "KTMC-12-2" 12 1.126928795 4
"495" "852_1015124" "LILA-26-4" 18 1.149059697 4
"496" "852_1015127" "LILA-26-5" 18 1.710897479 6
"497" "852_1015130" "LILB-26-1" 10 0.610864302 2
"498" "852_1015133" "LILB-26-5" 16.66666667 1.33821554 5
"499" "852_1015136" "LILC-26-1" 15 1.401945459 5
"500" "852_1015142" "LILC-26-3" 18 1.692019808 7
"501" "852_1015151" "LILD-26-5" 18 1.079734618 5
"502" "852_1015154" "MCMN-27-2" 18 1.300592008 5
"503" "852_1015163" "MTSM-27-3" 21 1.298654577 4
"504" "852_1015166" "NHTA-27-4" 10 1.220607265 4
"505" "852_1015169" "NHTA-27-5" 18 1.690408473 7
"506" "852_1015172" "NHTB-27-1" 12 0.959614794 3
"507" "852_1015181" "SKWA-24-3" 5 0.950270539 3
"508" "852_1015184" "SKWA-24-4" 17 1.52846571 6
"509" "852_1015199" "SKWE-24-5" 15 1.617053153 6
"510" "852_1015202" "SKWF-24-3" 4 1.039720771 3
"511" "852_1015211" "SLMC-28-3" 9 1.522955068 5
"512" "852_1015214" "BESC-101" 16 0.777462132 3
"513" "852_1015217" "BESC-107" 12 1.236684869 4
"514" "852_1015223" "BESC-118" 10 1.33217904 4
"515" "852_1015244" "BESC-433" 18 1.507306424 5
"516" "852_1015250" "BESC-827" 12 1.660947433 6
"517" "852_1015259" "BESC-910" 8 1.494175138 5
"518" "852_1015268" "SQMA-25-1" 37 1.279095421 6
"519" "852_1015271" "SQMA-25-2" 17 1.187946274 4
"520" "852_1015277" "SQMB-25-1" 9 0.683738906 3
"521" "852_1015283" "SQMC-25-3" 10 1.609437912 6
"522" "852_1015286" "VNDL-27-1" 9 0.848685558 3
