"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"110" "300661_407446" "BESC-62" 22 1.465807375 6
"111" "300661_407447" "BESC-66" 18 1.445938714 5
"112" "300661_407448" "BESC-74" 16 0.830523691 3
"113" "300661_407451" "BESC-89" 26 1.345314079 5
"114" "300661_407452" "BESC-90" 37 0.81339747 3
"115" "300661_407453" "BESC-94" 7 1.004242473 3
"116" "300661_407455" "BESC-96" 15 1.617053153 6
"117" "300661_407456" "BESC-97" 9 1.060856947 3
"118" "300661_407464" "BESC-120" 23 1.06800618 5
"119" "300661_407467" "BESC-130" 23 1.431879335 6
"120" "300661_407468" "BESC-134" 22 1.222602194 6
"121" "300661_407471" "BESC-139" 26 1.680886531 6
"122" "300661_407472" "BESC-145" 6 0.450561209 2
"123" "300661_407473" "BESC-147" 7 1.277034259 4
"124" "300661_407475" "BESC-169" 8 0.376770161 2
"125" "300661_407476" "BESC-173" 8 1.213007566 4
"126" "300661_407480" "BESC-199" 21 1.570065219 6
"127" "300661_407481" "BESC-201" 20 1.638506445 6
"128" "300661_407482" "BESC-209" 12 0.721463687 3
"129" "300661_407486" "BESC-225" 8 1.255482325 4
"130" "300661_407488" "BESC-231" 23 1.214313064 5
"131" "300661_407490" "BESC-234" 10 1.359236701 5
"132" "300661_407492" "BESC-242" 20 1.721904941 7
"133" "300661_407493" "BESC-250" 16 1.213007566 4
"134" "300661_407495" "BESC-255" 30 1.521422744 7
"135" "300661_407501" "BESC-271" 22 1.288252305 4
"136" "300661_407503" "BESC-286" 24 1.294447134 5
"137" "300661_407506" "BESC-297" 12 0.983087759 4
"138" "300661_407507" "BESC-300" 11 1.468139939 5
"139" "300661_407508" "BESC-302" 35 1.122375866 8
"140" "300661_407512" "BESC-324" 5 1.33217904 4
"141" "300661_407513" "BESC-325" 13 0.830517825 3
"142" "300661_407515" "BESC-331" 10 1.695742534 6
"143" "300661_407516" "BESC-334" 16 0.482577565 2
"144" "300661_407519" "BESC-347" 26 0.324508387 3
"145" "300661_407520" "BESC-348" 20 1.608882964 6
"146" "300661_407521" "BESC-350" 11 1.468139939 5
"147" "300661_407523" "BESC-368" 9 1.149059697 4
"148" "300661_407528" "BESC-382" 36 0.126930545 2
"149" "300661_407530" "BESC-388" 17 1.318023802 5
"150" "300661_407531" "BESC-390" 14 1.060944241 3
"151" "300661_407532" "BESC-395" 11 0.907535294 3
"152" "300661_407534" "BESC-399" 23 1.801497433 7
"153" "300661_407536" "BESC-401" 19 2.013805894 8
"154" "300661_407537" "BESC-404" 27 1.788137623 9
"155" "300661_407539" "BESC-409" 20 1.189885755 6
"156" "300661_407542" "BESC-426" 6 0.867563228 3
"157" "300661_407544" "BESC-431" 8 1.559581156 5
"158" "300661_407546" "BESC-439" 12 1.349792396 6
"159" "300661_407548" "BESC-445" 13 1.377819508 5
"160" "300661_407549" "BESC-446" 20 1.428551419 6
"161" "300661_407552" "BESC-459" 18 1.50891776 5
"162" "300661_407553" "BESC-461" 35 0.606869304 4
"163" "300661_407556" "BESC-466" 64 1.038613299 4
"164" "300661_407559" "BESC-805" 7.5 0.491543879 2.5
"165" "300661_407561" "BESC-811" 29 0.953385596 5
"166" "300661_407565" "BESC-829" 10 1.279854226 4
"167" "300661_407568" "BESC-846" 11 1.033562054 4
"168" "300661_407570" "BESC-857" 9 1.214889654 4
"169" "300661_407571" "BESC-859" 20 1.752423675 6
"170" "300661_407573" "BESC-866" 24 1.232671388 6
"171" "300661_407574" "BESC-871" 13 0.687092027 3
"172" "300661_407575" "BESC-879" 14 1.809514256 7
"173" "300661_407577" "BESC-886" 19 0.536664562 3
"174" "300661_407578" "BESC-887" 7 1.277034259 4
"175" "300661_407580" "BESC-891" 23 0.752916809 4
"176" "300661_407581" "BESC-893" 8 1.320888343 4
"177" "300661_407584" "BESC-897" 7 0.955699891 3
"178" "300661_407586" "BESC-911" 14 1.47013192 5
"179" "300661_407592" "HOMD-21-1" 40 0.970519096 5
"180" "300661_407593" "HRSO-27-2" 23 1.275893878 5
"181" "300661_407597" "SKWE-24-3" 24 1.496050435 6
"182" "300661_407598" "SLMC-28-1" 12 1.467733929 5
"183" "300661_407602" "GW-7987" 26 1.475625806 6
"184" "300661_407603" "GW-9577" 21 1.194355902 4
"185" "300661_407606" "GW-9767" 11 1.294545166 4
"186" "300661_407607" "GW-9789" 5 0.673011667 2
"187" "300661_407610" "GW-9822" 8 0.562335145 2
"188" "300661_407615" "GW-9895" 14 1.47013192 5
"189" "300661_407616" "GW-9896" 10 1.220607265 4
"190" "300661_407618" "GW-9916" 21 0.727001363 3
"191" "300661_407620" "GW-9950" 36 0.984865486 6
"192" "300661_407621" "GW-10957" 15 0.988154224 4
"193" "852_1003100" "BESC-9" 42 1.575168935 7
"194" "852_1003106" "BESC-27" 32 0.447062054 3
"195" "852_1003112" "BESC-44" 25 1.308212589 6
"196" "852_1003115" "BESC-45" 55 0.935700301 4
"197" "852_1003118" "BESC-46" 9 1.214889654 4
"198" "852_1003121" "BESC-49" 14 1.673118363 6
"199" "852_1003127" "BESC-60" 27 1.56802712 6
"200" "852_1003130" "BESC-63" 33 1.196795014 4
"201" "852_1003136" "BESC-68" 12 1.445185879 5
"202" "852_1003139" "BESC-70" 25 1.710410892 7
"203" "852_1003142" "BESC-84" 61 0.902528366 6
"204" "852_1003145" "BESC-85" 20 0.587500931 4
"205" "852_1003148" "BESC-86" 21.66666667 1.176943814 4.666666667
"206" "852_1003154" "BESC-126" 15 1.17105987 4
"207" "852_1003163" "BESC-151" 11 1.720193459 6
"208" "852_1003181" "BESC-192" 39 1.424486557 7
"209" "852_1003190" "BESC-204" 8 1.559581156 5
"210" "852_1003193" "BESC-206" 63 0.397117271 4
"211" "852_1003208" "BESC-236" 13 0.793730055 4
